Unit,Sales
3,7500
6,15000
6,15000
9,22500
4,10000
10,25000
11,27500
9,22500
5,12500
7,17500
11,27500
3,7500
6,15000
15,37500
8,20000
11,27500
10,25000
7,17500
15,37500
7,17500
12,30000
14,35000
7,17500
6,15000
8,20000
8,20000
6,15000
15,37500
24,60000
19,47500
31,77500
22,55000
17,42500
29,72500
11,27500
28,70000
24,60000
32,80000
25,62500
30,75000
31,77500
32,80000
40,100000
37,92500
43,107500
42,105000
26,65000
50,125000
36,90000
41,102500
44,110000
29,72500
13,32500
7,17500
18,45000
16,40000
17,42500
15,37500
8,20000
16,40000
15,37500
18,45000
7,17500
19,47500
37,92500
27,67500
33,82500
40,100000
40,100000
33,82500
16,40000
17,42500
25,62500
30,75000
36,90000
26,65000
13,32500
7,17500
15,37500
3,7500
9,22500
6,15000
15,37500
5,12500
12,30000
12,30000
7,17500
11,27500
8,20000
12,30000
15,37500
15,37500
11,27500
14,35000
4,10000
3,7500
6,15000
9,22500
13,32500
15,37500
10,25000
14,35000
7,17500
12,30000
15,37500
15,37500
13,32500
15,37500
10,25000
8,20000
12,30000
13,32500
35,87500
33,82500
10,25000
35,87500
22,55000
10,25000
24,60000
31,77500
18,45000
34,85000
32,80000
11,27500
50,125000
35,87500
37,92500
35,87500
41,102500
30,75000
28,70000
33,82500
26,65000
42,105000
35,87500
27,67500
19,47500
11,27500
12,30000
13,32500
5,12500
15,37500
7,17500
13,32500
16,40000
12,30000
9,22500
11,27500
30,75000
36,90000
23,57500
18,45000
23,57500
36,90000
24,60000
30,75000
32,80000
18,45000
36,90000
16,40000
6,15000
12,30000
9,22500
14,35000
4,10000
12,30000
7,17500
8,20000
11,27500
3,7500
9,22500
6,15000
3,7500
15,37500
6,15000
15,37500
12,30000
13,32500
15,37500
3,7500
5,12500
5,12500
3,7500
6,15000
4,10000
15,37500
7,17500
9,22500
6,15000
11,27500
13,32500
4,10000
10,25000
13,32500
14,35000
14,35000
26,65000
28,70000
28,70000
22,55000
23,57500
24,60000
33,82500
13,32500
25,62500
20,50000
13,32500
18,45000
45,112500
46,115000
33,82500
42,105000
47,117500
47,117500
50,125000
38,95000
40,100000
48,120000
26,65000
28,70000
7,17500
6,15000
10,25000
8,20000
19,47500
13,32500
14,35000
12,30000
13,32500
16,40000
9,22500
5,12500
20,50000
24,60000
17,42500
25,62500
20,50000
24,60000
18,45000
28,70000
28,70000
27,67500
35,87500
34,85000
7,17500
12,30000
4,10000
7,17500
8,20000
14,35000
6,15000
6,15000
12,30000
9,22500
8,20000
9,22500
15,37500
6,15000
3,7500
14,35000
3,7500
8,20000
4,10000
10,25000
8,20000
5,12500
15,37500
3,7500
12,30000
3,7500
14,35000
3,7500
13,32500
6,15000
14,35000
6,15000
6,15000
14,35000
8,20000
3,7500
10,25000
24,60000
24,60000
26,65000
24,60000
16,40000
32,80000
24,60000
33,82500
22,55000
20,50000
35,87500
39,97500
49,122500
47,117500
32,80000
41,102500
47,117500
38,95000
28,70000
30,75000
44,110000
43,107500
49,122500
13,32500
15,37500
14,35000
13,32500
15,37500
14,35000
14,35000
8,20000
16,40000
10,25000
19,47500
10,25000
21,52500
15,37500
29,72500
25,62500
31,77500
22,55000
21,52500
29,72500
33,82500
32,80000
38,95000
18,45000
14,35000
12,30000
4,10000
8,20000
6,15000
11,27500
7,17500
5,12500
11,27500
4,10000
8,20000
3,7500
7,17500
12,30000
14,35000
14,35000
12,30000
13,32500
14,35000
14,35000
8,20000
4,10000
4,10000
8,20000
3,7500
6,15000
15,37500
8,20000
7,17500
6,15000
15,37500
9,22500
10,25000
9,22500
15,37500
6,15000
25,62500
19,47500
33,82500
29,72500
18,45000
34,85000
14,35000
14,35000
21,52500
21,52500
29,72500
10,25000
33,82500
48,120000
50,125000
29,72500
49,122500
27,67500
35,87500
45,112500
25,62500
27,67500
50,125000
31,77500
20,50000
11,27500
13,32500
17,42500
7,17500
15,37500
16,40000
13,32500
11,27500
6,15000
10,25000
9,22500
38,95000
26,65000
34,85000
40,100000
36,90000
25,62500
35,87500
39,97500
30,75000
34,85000
18,45000
24,60000
7,17500
9,22500
3,7500
4,10000
14,35000
6,15000
8,20000
12,30000
3,7500
11,27500
15,37500
14,35000
15,37500
9,22500
4,10000
13,32500
14,35000
8,20000
13,32500
7,17500
9,22500
13,32500
3,7500
9,22500
10,25000
5,12500
13,32500
9,22500
11,27500
10,25000
12,30000
5,12500
12,30000
4,10000
3,7500
5,12500
33,82500
20,50000
17,42500
27,67500
32,80000
17,42500
24,60000
25,62500
14,35000
35,87500
25,62500
10,25000
45,112500
30,75000
41,102500
47,117500
30,75000
35,87500
34,85000
40,100000
27,67500
41,102500
39,97500
37,92500
15,37500
18,45000
11,27500
10,25000
12,30000
15,37500
7,17500
7,17500
20,50000
6,15000
5,12500
9,22500
31,77500
17,42500
30,75000
21,52500
36,90000
33,82500
33,82500
39,97500
25,62500
31,77500
25,62500
17,42500
11,27500
5,12500
15,37500
3,7500
7,17500
10,25000
3,7500
13,32500
11,27500
6,15000
8,20000
6,15000
9,22500
7,17500
6,15000
13,32500
12,30000
3,7500
11,27500
4,10000
4,10000
8,20000
11,27500
13,32500
8,20000
10,25000
12,30000
5,12500
12,30000
14,35000
5,12500
10,25000
13,32500
8,20000
9,22500
5,12500
32,80000
29,72500
29,72500
31,77500
13,32500
26,65000
27,67500
26,65000
34,85000
11,27500
23,57500
20,50000
25,62500
29,72500
26,65000
35,87500
38,95000
44,110000
30,75000
26,65000
46,115000
28,70000
27,67500
42,105000
8,20000
8,20000
10,25000
9,22500
18,45000
19,47500
12,30000
13,32500
9,22500
18,45000
8,20000
17,42500
24,60000
29,72500
30,75000
22,55000
18,45000
25,62500
39,97500
17,42500
30,75000
37,92500
29,72500
40,100000
13,32500
13,32500
5,12500
11,27500
13,32500
6,15000
14,35000
11,27500
5,12500
4,10000
10,25000
15,37500
11,27500
6,15000
5,12500
10,25000
14,35000
8,20000
5,12500
4,10000
5,12500
8,20000
10,25000
14,35000
14,35000
9,22500
11,27500
3,7500
5,12500
7,17500
10,25000
13,32500
13,32500
9,22500
10,25000
3,7500
24,60000
26,65000
16,40000
35,87500
20,50000
12,30000
20,50000
15,37500
12,30000
27,67500
19,47500
30,75000
42,105000
42,105000
50,125000
36,90000
25,62500
36,90000
27,67500
46,115000
49,122500
39,97500
27,67500
47,117500
18,45000
17,42500
13,32500
15,37500
14,35000
19,47500
20,50000
13,32500
19,47500
17,42500
5,12500
12,30000
32,80000
28,70000
19,47500
25,62500
15,37500
17,42500
21,52500
15,37500
36,90000
16,40000
37,92500
40,100000
11,27500
8,20000
3,7500
10,25000
13,32500
13,32500
14,35000
10,25000
11,27500
5,12500
11,27500
3,7500
14,35000
11,27500
6,15000
7,17500
15,37500
7,17500
3,7500
9,22500
10,25000
3,7500
5,12500
7,17500
13,32500
14,35000
13,32500
7,17500
4,10000
11,27500
4,10000
5,12500
14,35000
14,35000
13,32500
14,35000
17,42500
32,80000
15,37500
21,52500
13,32500
12,30000
33,82500
30,75000
12,30000
34,85000
19,47500
25,62500
33,82500
25,62500
26,65000
39,97500
29,72500
36,90000
38,95000
28,70000
27,67500
39,97500
50,125000
35,87500
5,12500
13,32500
18,45000
5,12500
6,15000
17,42500
17,42500
12,30000
18,45000
8,20000
19,47500
10,25000
16,40000
18,45000
24,60000
21,52500
23,57500
31,77500
40,100000
39,97500
27,67500
29,72500
32,80000
15,37500
4,10000
11,27500
3,7500
8,20000
13,32500
14,35000
4,10000
12,30000
5,12500
14,35000
10,25000
9,22500
6,15000
9,22500
6,15000
7,17500
10,25000
15,37500
8,20000
12,30000
12,30000
10,25000
5,12500
12,30000
10,25000
13,32500
3,7500
8,20000
13,32500
6,15000
8,20000
13,32500
14,35000
4,10000
8,20000
11,27500
26,65000
35,87500
26,65000
20,50000
33,82500
12,30000
34,85000
31,77500
13,32500
29,72500
17,42500
20,50000
49,122500
35,87500
34,85000
42,105000
40,100000
38,95000
42,105000
39,97500
39,97500
33,82500
41,102500
37,92500
16,40000
12,30000
20,50000
18,45000
8,20000
13,32500
9,22500
19,47500
5,12500
18,45000
12,30000
18,45000
28,70000
17,42500
28,70000
32,80000
16,40000
24,60000
30,75000
36,90000
36,90000
40,100000
21,52500
21,52500
15,37500
7,17500
9,22500
7,17500
10,25000
13,32500
3,7500
11,27500
6,15000
7,17500
3,7500
8,20000
5,12500
10,25000
5,12500
14,35000
15,37500
7,17500
10,25000
11,27500
7,17500
10,25000
12,30000
8,20000
10,25000
14,35000
9,22500
3,7500
3,7500
7,17500
11,27500
10,25000
8,20000
7,17500
11,27500
10,25000
21,52500
34,85000
26,65000
18,45000
30,75000
12,30000
21,52500
18,45000
13,32500
12,30000
11,27500
25,62500
40,100000
26,65000
44,110000
29,72500
42,105000
29,72500
29,72500
30,75000
36,90000
28,70000
37,92500
34,85000
6,15000
18,45000
5,12500
20,50000
18,45000
6,15000
8,20000
14,35000
8,20000
10,25000
15,37500
7,17500
31,77500
20,50000
22,55000
40,100000
15,37500
36,90000
38,95000
17,42500
33,82500
40,100000
34,85000
18,45000
14,35000
9,22500
12,30000
13,32500
9,22500
7,17500
11,27500
9,22500
10,25000
12,30000
8,20000
13,32500
9,22500
15,37500
8,20000
9,22500
5,12500
4,10000
13,32500
9,22500
15,37500
7,17500
4,10000
13,32500
3,7500
11,27500
10,25000
13,32500
15,37500
13,32500
9,22500
3,7500
12,30000
13,32500
15,37500
11,27500
20,50000
33,82500
26,65000
26,65000
34,85000
11,27500
19,47500
33,82500
32,80000
19,47500
22,55000
22,55000
31,77500
49,122500
34,85000
30,75000
42,105000
46,115000
46,115000
28,70000
25,62500
50,125000
45,112500
45,112500
20,50000
6,15000
18,45000
9,22500
14,35000
18,45000
8,20000
17,42500
11,27500
11,27500
8,20000
16,40000
33,82500
35,87500
16,40000
27,67500
19,47500
25,62500
15,37500
37,92500
15,37500
39,97500
25,62500
23,57500
8,20000
7,17500
3,7500
3,7500
6,15000
10,25000
9,22500
10,25000
13,32500
4,10000
14,35000
5,12500
12,30000
15,37500
10,25000
11,27500
15,37500
8,20000
8,20000
13,32500
5,12500
4,10000
9,22500
6,15000
8,20000
10,25000
6,15000
11,27500
5,12500
8,20000
12,30000
9,22500
4,10000
13,32500
12,30000
12,30000
27,67500
20,50000
26,65000
32,80000
10,25000
24,60000
22,55000
29,72500
28,70000
14,35000
12,30000
29,72500
33,82500
30,75000
29,72500
41,102500
25,62500
35,87500
34,85000
25,62500
39,97500
50,125000
34,85000
48,120000
7,17500
12,30000
8,20000
9,22500
9,22500
8,20000
15,37500
7,17500
17,42500
7,17500
16,40000
19,47500
17,42500
40,100000
29,72500
26,65000
35,87500
26,65000
38,95000
15,37500
35,87500
21,52500
27,67500
39,97500
13,32500
6,15000
3,7500
6,15000
12,30000
13,32500
12,30000
8,20000
9,22500
5,12500
9,22500
4,10000
9,22500
11,27500
14,35000
13,32500
3,7500
14,35000
6,15000
4,10000
5,12500
8,20000
3,7500
5,12500
8,20000
15,37500
7,17500
4,10000
5,12500
12,30000
9,22500
5,12500
7,17500
5,12500
3,7500
11,27500
30,75000
34,85000
34,85000
27,67500
27,67500
28,70000
21,52500
13,32500
11,27500
29,72500
22,55000
25,62500
27,67500
37,92500
38,95000
40,100000
26,65000
43,107500
44,110000
46,115000
27,67500
27,67500
42,105000
26,65000
9,22500
8,20000
20,50000
7,17500
17,42500
5,12500
15,37500
19,47500
9,22500
7,17500
14,35000
9,22500
17,42500
40,100000
39,97500
39,97500
31,77500
21,52500
36,90000
18,45000
22,55000
25,62500
15,37500
15,37500
7,17500
4,10000
8,20000
15,37500
6,15000
3,7500
9,22500
15,37500
3,7500
15,37500
7,17500
6,15000
12,30000
15,37500
4,10000
13,32500
5,12500
7,17500
5,12500
13,32500
11,27500
13,32500
6,15000
9,22500
5,12500
12,30000
6,15000
15,37500
7,17500
4,10000
7,17500
14,35000
6,15000
14,35000
13,32500
5,12500
25,62500
30,75000
33,82500
30,75000
11,27500
10,25000
19,47500
23,57500
24,60000
25,62500
19,47500
11,27500
47,117500
27,67500
43,107500
45,112500
36,90000
43,107500
31,77500
33,82500
40,100000
45,112500
40,100000
38,95000
10,25000
19,47500
18,45000
11,27500
20,50000
15,37500
7,17500
7,17500
5,12500
19,47500
20,50000
11,27500
40,100000
32,80000
29,72500
17,42500
15,37500
19,47500
40,100000
16,40000
38,95000
33,82500
37,92500
28,70000
14,35000
10,25000
12,30000
14,35000
13,32500
15,37500
13,32500
11,27500
10,25000
8,20000
3,7500
13,32500
5,12500
8,20000
7,17500
7,17500
5,12500
13,32500
13,32500
9,22500
11,27500
10,25000
4,10000
11,27500
11,27500
10,25000
7,17500
11,27500
11,27500
9,22500
13,32500
5,12500
10,25000
6,15000
12,30000
7,17500
14,35000
19,47500
27,67500
12,30000
32,80000
23,57500
28,70000
28,70000
22,55000
19,47500
11,27500
30,75000
29,72500
39,97500
29,72500
43,107500
33,82500
31,77500
30,75000
35,87500
46,115000
32,80000
48,120000
44,110000
15,37500
20,50000
8,20000
8,20000
11,27500
15,37500
18,45000
9,22500
8,20000
10,25000
15,37500
6,15000
27,67500
38,95000
17,42500
27,67500
38,95000
35,87500
21,52500
37,92500
33,82500
40,100000
29,72500
35,87500
7,17500
13,32500
13,32500
6,15000
3,7500
11,27500
7,17500
13,32500
13,32500
3,7500
12,30000
10,25000
7,17500
13,32500
10,25000
9,22500
7,17500
6,15000
10,25000
8,20000
14,35000
7,17500
8,20000
6,15000
15,37500
11,27500
5,12500
7,17500
13,32500
12,30000
6,15000
9,22500
11,27500
12,30000
9,22500
15,37500
10,25000
12,30000
10,25000
21,52500
24,60000
13,32500
24,60000
33,82500
33,82500
28,70000
25,62500
24,60000
37,92500
50,125000
48,120000
34,85000
26,65000
50,125000
36,90000
27,67500
49,122500
47,117500
31,77500
32,80000
13,32500
5,12500
6,15000
12,30000
11,27500
13,32500
14,35000
10,25000
7,17500
9,22500
8,20000
7,17500
39,97500
19,47500
31,77500
29,72500
25,62500
31,77500
33,82500
29,72500
23,57500
20,50000
33,82500
25,62500
6,15000
5,12500
11,27500
13,32500
3,7500
5,12500
4,10000
6,15000
6,15000
15,37500
11,27500
3,7500
4,10000
9,22500
10,25000
12,30000
13,32500
7,17500
3,7500
7,17500
4,10000
5,12500
13,32500
9,22500
11,27500
4,10000
4,10000
7,17500
14,35000
6,15000
15,37500
5,12500
9,22500
14,35000
7,17500
4,10000
11,27500
26,65000
15,37500
28,70000
28,70000
18,45000
18,45000
27,67500
18,45000
32,80000
23,57500
21,52500
48,120000
40,100000
48,120000
46,115000
26,65000
33,82500
27,67500
35,87500
34,85000
28,70000
25,62500
41,102500
17,42500
10,25000
5,12500
9,22500
12,30000
18,45000
12,30000
18,45000
6,15000
10,25000
6,15000
10,25000
22,55000
17,42500
38,95000
33,82500
27,67500
25,62500
32,80000
23,57500
29,72500
39,97500
19,47500
38,95000
11,27500
12,30000
11,27500
12,30000
6,15000
13,32500
5,12500
11,27500
13,32500
4,10000
13,32500
9,22500
13,32500
13,32500
4,10000
9,22500
8,20000
11,27500
4,10000
9,22500
11,27500
10,25000
10,25000
3,7500
15,37500
6,15000
14,35000
4,10000
10,25000
13,32500
4,10000
11,27500
15,37500
14,35000
9,22500
6,15000
14,35000
15,37500
22,55000
35,87500
22,55000
16,40000
18,45000
34,85000
30,75000
29,72500
28,70000
32,80000
29,72500
41,102500
44,110000
31,77500
43,107500
33,82500
36,90000
29,72500
25,62500
45,112500
42,105000
36,90000
16,40000
9,22500
10,25000
17,42500
13,32500
12,30000
7,17500
7,17500
14,35000
11,27500
8,20000
8,20000
22,55000
23,57500
36,90000
28,70000
15,37500
27,67500
24,60000
15,37500
23,57500
18,45000
26,65000
39,97500
5,12500
15,37500
4,10000
8,20000
8,20000
6,15000
3,7500
9,22500
7,17500
14,35000
7,17500
15,37500
6,15000
8,20000
13,32500
4,10000
10,25000
12,30000
6,15000
4,10000
5,12500
8,20000
4,10000
5,12500
13,32500
11,27500
14,35000
7,17500
8,20000
14,35000
7,17500
4,10000
7,17500
6,15000
8,20000
7,17500
35,87500
26,65000
26,65000
26,65000
33,82500
32,80000
30,75000
30,75000
32,80000
21,52500
13,32500
22,55000
44,110000
35,87500
36,90000
39,97500
37,92500
27,67500
42,105000
39,97500
36,90000
36,90000
37,92500
41,102500
11,27500
12,30000
13,32500
5,12500
9,22500
10,25000
7,17500
20,50000
16,40000
16,40000
6,15000
7,17500
28,70000
36,90000
32,80000
19,47500
17,42500
29,72500
40,100000
16,40000
30,75000
20,50000
17,42500
36,90000
13,32500
4,10000
15,37500
15,37500
6,15000
14,35000
11,27500
4,10000
3,7500
7,17500
10,25000
9,22500
3,7500
14,35000
5,12500
12,30000
3,7500
13,32500
10,25000
5,12500
10,25000
4,10000
15,37500
4,10000
11,27500
3,7500
4,10000
13,32500
6,15000
8,20000
8,20000
10,25000
5,12500
13,32500
15,37500
8,20000
17,42500
35,87500
19,47500
30,75000
18,45000
13,32500
19,47500
25,62500
27,67500
10,25000
17,42500
15,37500
31,77500
42,105000
25,62500
50,125000
26,65000
49,122500
33,82500
39,97500
50,125000
40,100000
43,107500
44,110000
11,27500
13,32500
17,42500
17,42500
19,47500
20,50000
14,35000
14,35000
19,47500
9,22500
14,35000
8,20000
33,82500
25,62500
25,62500
39,97500
31,77500
30,75000
22,55000
30,75000
25,62500
31,77500
15,37500
36,90000
8,20000
6,15000
3,7500
3,7500
10,25000
3,7500
3,7500
12,30000
15,37500
7,17500
10,25000
5,12500
4,10000
6,15000
4,10000
7,17500
8,20000
7,17500
5,12500
10,25000
7,17500
9,22500
6,15000
8,20000
4,10000
2,5000
3,7500
9,22500
5,12500
2,5000
8,20000
5,12500
5,12500
4,10000
2,5000
3,7500
22,55000
14,35000
24,60000
12,30000
18,45000
15,37500
10,25000
21,52500
12,30000
11,27500
23,57500
25,62500
39,97500
28,70000
22,55000
25,62500
21,52500
39,97500
39,97500
27,67500
43,107500
40,100000
30,75000
25,62500
8,20000
14,35000
10,25000
5,12500
13,32500
6,15000
9,22500
3,7500
15,37500
5,12500
15,37500
9,22500
27,67500
35,87500
15,37500
33,82500
24,60000
25,62500
26,65000
19,47500
15,37500
15,37500
35,87500
23,57500
9,22500
7,17500
2,5000
8,20000
10,25000
9,22500
6,15000
10,25000
10,25000
4,10000
9,22500
2,5000
6,15000
4,10000
3,7500
5,12500
7,17500
2,5000
10,25000
5,12500
8,20000
6,15000
6,15000
2,5000
7,17500
2,5000
2,5000
5,12500
4,10000
2,5000
7,17500
3,7500
6,15000
6,15000
4,10000
5,12500
21,52500
10,25000
11,27500
11,27500
21,52500
21,52500
25,62500
20,50000
19,47500
23,57500
16,40000
13,32500
45,112500
35,87500
24,60000
20,50000
24,60000
45,112500
44,110000
24,60000
21,52500
30,75000
31,77500
30,75000
8,20000
8,20000
5,12500
10,25000
7,17500
11,27500
13,32500
3,7500
3,7500
4,10000
15,37500
3,7500
13,32500
33,82500
20,50000
25,62500
16,40000
23,57500
14,35000
29,72500
14,35000
14,35000
22,55000
15,37500
6,15000
3,7500
5,12500
2,5000
3,7500
10,25000
3,7500
4,10000
10,25000
7,17500
3,7500
5,12500
5,12500
7,17500
9,22500
7,17500
5,12500
6,15000
4,10000
5,12500
10,25000
5,12500
2,5000
6,15000
3,7500
4,10000
9,22500
2,5000
9,22500
6,15000
5,12500
10,25000
6,15000
2,5000
6,15000
4,10000
13,32500
14,35000
19,47500
11,27500
19,47500
24,60000
24,60000
10,25000
12,30000
10,25000
15,37500
17,42500
31,77500
21,52500
42,105000
35,87500
30,75000
29,72500
22,55000
44,110000
27,67500
30,75000
39,97500
23,57500
13,32500
13,32500
12,30000
10,25000
7,17500
13,32500
12,30000
15,37500
9,22500
10,25000
6,15000
4,10000
14,35000
28,70000
25,62500
16,40000
23,57500
16,40000
15,37500
26,65000
21,52500
35,87500
18,45000
25,62500
3,7500
4,10000
8,20000
4,10000
3,7500
4,10000
10,25000
6,15000
6,15000
7,17500
2,5000
10,25000
2,5000
4,10000
7,17500
4,10000
7,17500
6,15000
7,17500
2,5000
7,17500
2,5000
7,17500
8,20000
2,5000
9,22500
3,7500
3,7500
9,22500
5,12500
10,25000
10,25000
2,5000
9,22500
7,17500
10,25000
